date,singles_rank,atp_points
2023.12.18,2,8855
2023.12.11,2,8855
2023.12.04,2,8855
2023.11.27,2,8855
2023.11.20,2,8855
2023.11.13,2,8455
2023.11.06,2,8455
2023.10.30,2,8625
2023.10.23,2,8805
2023.10.16,2,8805
2023.10.02,2,8715
2023.09.25,2,8535
2023.09.18,2,8535
2023.09.11,2,8535
2023.08.28,1,9815
2023.08.21,1,9815
2023.08.14,1,9395
2023.08.07,1,9225
2023.07.31,1,9225
2023.07.24,1,9375
2023.07.17,1,9675
2023.07.03,1,7675
2023.06.26,1,7675
2023.06.19,2,7175
2023.06.12,2,7175
2023.05.29,1,6815
2023.05.22,1,6815
2023.05.08,2,6770
2023.04.24,2,6770
2023.04.17,2,6770
2023.04.10,2,6780
2023.04.03,2,6780
2023.03.20,1,7420
2023.03.06,2,6780
2023.02.27,2,6780
2023.02.20,2,6480
2023.02.13,2,6730
2023.02.06,2,6730
2023.01.30,2,6730
2023.01.16,1,6820
2023.01.09,1,6820
2023.01.02,1,6820
